first_name,last_name,gender,date_of_birth,admission_number,roll_number,admission_date,academic_year_id,class_id,section_id
Student0,Last0,MALE,2015-05-15,ADM_CH_0,0,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student1,Last1,MALE,2015-05-15,ADM_CH_1,1,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student2,Last2,MALE,2015-05-15,ADM_CH_2,2,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student3,Last3,MALE,2015-05-15,ADM_CH_3,3,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student4,Last4,MALE,2015-05-15,ADM_CH_4,4,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student5,Last5,MALE,2015-05-15,ADM_CH_5,5,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student6,Last6,MALE,2015-05-15,ADM_CH_6,6,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student7,Last7,MALE,2015-05-15,ADM_CH_7,7,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student8,Last8,MALE,2015-05-15,ADM_CH_8,8,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student9,Last9,MALE,2015-05-15,ADM_CH_9,9,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student10,Last10,MALE,2015-05-15,ADM_CH_10,10,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student11,Last11,MALE,2015-05-15,ADM_CH_11,11,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student12,Last12,MALE,2015-05-15,ADM_CH_12,12,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student13,Last13,MALE,2015-05-15,ADM_CH_13,13,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student14,Last14,MALE,2015-05-15,ADM_CH_14,14,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student15,Last15,MALE,2015-05-15,ADM_CH_15,15,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student16,Last16,MALE,2015-05-15,ADM_CH_16,16,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student17,Last17,MALE,2015-05-15,ADM_CH_17,17,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student18,Last18,MALE,2015-05-15,ADM_CH_18,18,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student19,Last19,MALE,2015-05-15,ADM_CH_19,19,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student20,Last20,MALE,2015-05-15,ADM_CH_20,20,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student21,Last21,MALE,2015-05-15,ADM_CH_21,21,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student22,Last22,MALE,2015-05-15,ADM_CH_22,22,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student23,Last23,MALE,2015-05-15,ADM_CH_23,23,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student24,Last24,MALE,2015-05-15,ADM_CH_24,24,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student25,Last25,MALE,2015-05-15,ADM_CH_25,25,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student26,Last26,MALE,2015-05-15,ADM_CH_26,26,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student27,Last27,MALE,2015-05-15,ADM_CH_27,27,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student28,Last28,MALE,2015-05-15,ADM_CH_28,28,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student29,Last29,MALE,2015-05-15,ADM_CH_29,29,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student30,Last30,MALE,2015-05-15,ADM_CH_30,30,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student31,Last31,MALE,2015-05-15,ADM_CH_31,31,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student32,Last32,MALE,2015-05-15,ADM_CH_32,32,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student33,Last33,MALE,2015-05-15,ADM_CH_33,33,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student34,Last34,MALE,2015-05-15,ADM_CH_34,34,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student35,Last35,MALE,2015-05-15,ADM_CH_35,35,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student36,Last36,MALE,2015-05-15,ADM_CH_36,36,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student37,Last37,MALE,2015-05-15,ADM_CH_37,37,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student38,Last38,MALE,2015-05-15,ADM_CH_38,38,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student39,Last39,MALE,2015-05-15,ADM_CH_39,39,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student40,Last40,MALE,2015-05-15,ADM_CH_40,40,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student41,Last41,MALE,2015-05-15,ADM_CH_41,41,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student42,Last42,MALE,2015-05-15,ADM_CH_42,42,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student43,Last43,MALE,2015-05-15,ADM_CH_43,43,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student44,Last44,MALE,2015-05-15,ADM_CH_44,44,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student45,Last45,MALE,2015-05-15,ADM_CH_45,45,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student46,Last46,MALE,2015-05-15,ADM_CH_46,46,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student47,Last47,MALE,2015-05-15,ADM_CH_47,47,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student48,Last48,MALE,2015-05-15,ADM_CH_48,48,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student49,Last49,MALE,2015-05-15,ADM_CH_49,49,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
Student50,Last50,MALE,2015-05-15,ADM_CH_50,50,2026-06-01,45129be5-0a0d-4a73-b2fe-1bb61afff576,2f5a7422-9a90-47c5-b81a-ee3795df274e,4ac26b55-b710-4e01-99b6-233fe884d21e
