first_name,last_name,gender,date_of_birth,admission_number,roll_number,admission_date,academic_year_id,class_id,section_id
Student0,Last0,MALE,2015-05-15,ADM_CH_0,0,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
Student1,Last1,MALE,2015-05-15,ADM_CH_1,1,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
Student2,Last2,MALE,2015-05-15,ADM_CH_2,2,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
Student3,Last3,MALE,2015-05-15,ADM_CH_3,3,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
Student4,Last4,MALE,2015-05-15,ADM_CH_4,4,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
Student5,Last5,MALE,2015-05-15,ADM_CH_5,5,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
Student6,Last6,MALE,2015-05-15,ADM_CH_6,6,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
Student7,Last7,MALE,2015-05-15,ADM_CH_7,7,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
Student8,Last8,MALE,2015-05-15,ADM_CH_8,8,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
Student9,Last9,MALE,2015-05-15,ADM_CH_9,9,2026-06-01,99ee0cda-971e-451f-bb2d-7a51c9fe1312,f1135b64-ccc9-4c29-a6e5-98dbcb3284de,4f58098c-9cb5-4a63-b31a-db7900f03cda
