first_name,last_name,gender,date_of_birth,admission_number,roll_number,admission_date,academic_year_id,class_id,section_id
Student0,Last0,MALE,2015-05-15,ADM_CH_0,0,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
Student1,Last1,MALE,2015-05-15,ADM_CH_1,1,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
Student2,Last2,MALE,2015-05-15,ADM_CH_2,2,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
Student3,Last3,MALE,2015-05-15,ADM_CH_3,3,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
Student4,Last4,MALE,2015-05-15,ADM_CH_4,4,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
Student5,Last5,MALE,2015-05-15,ADM_CH_5,5,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
Student6,Last6,MALE,2015-05-15,ADM_CH_6,6,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
Student7,Last7,MALE,2015-05-15,ADM_CH_7,7,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
Student8,Last8,MALE,2015-05-15,ADM_CH_8,8,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
Student9,Last9,MALE,2015-05-15,ADM_CH_9,9,2026-06-01,ed4d37fd-817e-4ae6-a793-f45faedc5403,41cfe42c-33fe-49bc-b29d-870440f9438e,58716cc6-de7b-4e24-a2ba-caa02e2d6bbc
