first_name,last_name,gender,date_of_birth,admission_number,roll_number,admission_date,academic_year_id,class_id,section_id
Student0,Last0,MALE,2015-05-15,ADM_CH_0,0,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
Student1,Last1,MALE,2015-05-15,ADM_CH_1,1,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
Student2,Last2,MALE,2015-05-15,ADM_CH_2,2,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
Student3,Last3,MALE,2015-05-15,ADM_CH_3,3,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
Student4,Last4,MALE,2015-05-15,ADM_CH_4,4,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
Student5,Last5,MALE,2015-05-15,ADM_CH_5,5,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
Student6,Last6,MALE,2015-05-15,ADM_CH_6,6,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
Student7,Last7,MALE,2015-05-15,ADM_CH_7,7,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
Student8,Last8,MALE,2015-05-15,ADM_CH_8,8,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
Student9,Last9,MALE,2015-05-15,ADM_CH_9,9,2026-06-01,369c7fb0-c01c-4003-a4b4-ee3da036cfd6,118082e4-fe66-44c8-9765-70ca3a6bc1cb,3b41a8bf-f14a-48f9-baee-91c4f3e93eab
