first_name,middle_name,last_name,gender,date_of_birth,blood_group,aadhaar_number,emis_number,mobile,phone,email,photo_url,admission_number,roll_number,admission_date,academic_year_id,class_id,section_id,class_name,class_code,section_name,section_code,father_name,mother_name,address,status
Student3001,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3001,DPSH-CAPTEST-ROLL-3001,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3002,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3002,DPSH-CAPTEST-ROLL-3002,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3003,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3003,DPSH-CAPTEST-ROLL-3003,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3004,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3004,DPSH-CAPTEST-ROLL-3004,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3005,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3005,DPSH-CAPTEST-ROLL-3005,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3006,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3006,DPSH-CAPTEST-ROLL-3006,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3007,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3007,DPSH-CAPTEST-ROLL-3007,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3008,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3008,DPSH-CAPTEST-ROLL-3008,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3009,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3009,DPSH-CAPTEST-ROLL-3009,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3010,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3010,DPSH-CAPTEST-ROLL-3010,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
Student3011,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3011,DPSH-CAPTEST-ROLL-3011,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,9bd61e83-865b-4425-8f79-038785a913b1,ef181da7-aa3a-425b-a6b7-cb52c2b3640d,Class 8,CLASS_8,Section A,SEC_A,,,,ACTIVE
