guardian_code,first_name,last_name,gender,date_of_birth,mobile,email,guardian_type,status
GRD001,Chaitanya,Rao,MALE,1985-02-02,9849000001,parent.tarun.rao1@telanganaparents.org,FATHER,ACTIVE
GRD002,Vikram,Reddy,MALE,1984-03-03,9849000002,parent.aakanksha.reddy2@telanganaparents.org,FATHER,ACTIVE
GRD003,Ishwarya,Sharma,FEMALE,1983-04-04,9849000003,parent.koushik.sharma3@telanganaparents.org,MOTHER,ACTIVE
GRD004,Deepak,Goud,MALE,1982-05-05,9849000004,parent.harshini.goud4@telanganaparents.org,FATHER,ACTIVE
GRD005,Bhavan,Chowdary,MALE,1981-06-06,9849000005,parent.vikram.chowdary5@telanganaparents.org,FATHER,ACTIVE
GRD006,Spandana,Varma,FEMALE,1980-07-07,9849000006,parent.shravani.varma6@telanganaparents.org,MOTHER,ACTIVE
GRD007,Arjun,Naidu,MALE,1979-08-08,9849000007,parent.satish.naidu7@telanganaparents.org,FATHER,ACTIVE
GRD008,Rishi,Gupta,MALE,1986-09-09,9849000008,parent.ruchitha.gupta8@telanganaparents.org,FATHER,ACTIVE
GRD009,Aakanksha,Murthy,FEMALE,1985-10-10,9849000009,parent.aditya.murthy9@telanganaparents.org,MOTHER,ACTIVE
GRD010,Harsha,Sastry,MALE,1984-11-11,9849000010,parent.anusha.sastry10@telanganaparents.org,FATHER,ACTIVE
GRD011,Santosh,Babu,MALE,1983-12-12,9849000011,parent.hemant.babu11@telanganaparents.org,FATHER,ACTIVE
GRD012,Aakanksha,Yadav,FEMALE,1982-01-13,9849000012,parent.sahithi.yadav12@telanganaparents.org,MOTHER,ACTIVE
GRD013,Goutham,Patel,MALE,1981-02-14,9849000013,parent.shashi.patel13@telanganaparents.org,FATHER,ACTIVE
GRD014,Teja,Venkatesh,MALE,1980-03-15,9849000014,parent.sirisha.venkatesh14@telanganaparents.org,FATHER,ACTIVE
GRD015,Radhika,Vemula,FEMALE,1979-04-16,9849000015,parent.venkatesh.vemula15@telanganaparents.org,MOTHER,ACTIVE
GRD016,Hemant,Bandi,MALE,1986-05-17,9849000016,parent.niharika.bandi16@telanganaparents.org,FATHER,ACTIVE
GRD017,Srikanth,Kandula,MALE,1985-06-18,9849000017,parent.rohit.kandula17@telanganaparents.org,FATHER,ACTIVE
GRD018,Sruthi,Gudepu,FEMALE,1984-07-19,9849000018,parent.jyothi.gudepu18@telanganaparents.org,MOTHER,ACTIVE
GRD019,Vinay,Singireddy,MALE,1983-08-20,9849000019,parent.aarav.singireddy19@telanganaparents.org,FATHER,ACTIVE
GRD020,Eshwar,Pothula,MALE,1982-09-21,9849000020,parent.sruthi.pothula20@telanganaparents.org,FATHER,ACTIVE
GRD021,Pallavi,Kondapalli,FEMALE,1981-10-22,9849000021,parent.venkatesh.kondapalli21@telanganaparents.org,MOTHER,ACTIVE
GRD022,Koushik,Malkapuram,MALE,1980-11-23,9849000022,parent.lavanya.malkapuram22@telanganaparents.org,FATHER,ACTIVE
GRD023,Harsha,Chintala,MALE,1979-12-24,9849000023,parent.dhanush.chintala23@telanganaparents.org,FATHER,ACTIVE
GRD024,Sravya,Gaddam,FEMALE,1986-01-25,9849000024,parent.vennela.gaddam24@telanganaparents.org,MOTHER,ACTIVE
GRD025,Bhavan,Boddu,MALE,1985-02-26,9849000025,parent.nikhil.boddu25@telanganaparents.org,FATHER,ACTIVE
GRD026,Praneeth,Maddela,MALE,1984-03-27,9849000026,parent.anusha.maddela26@telanganaparents.org,FATHER,ACTIVE
GRD027,Madhuri,Komati,FEMALE,1983-04-28,9849000027,parent.bhavan.komati27@telanganaparents.org,MOTHER,ACTIVE
GRD028,Pavan,Narra,MALE,1982-05-01,9849000028,parent.supriya.narra28@telanganaparents.org,FATHER,ACTIVE
GRD029,Karthik,Thota,MALE,1981-06-02,9849000029,parent.srinivas.thota29@telanganaparents.org,FATHER,ACTIVE
GRD030,Alekhya,Avula,FEMALE,1980-07-03,9849000030,parent.sruthi.avula30@telanganaparents.org,MOTHER,ACTIVE
GRD031,Sai,Siripuram,MALE,1979-08-04,9849000031,parent.vijay.siripuram31@telanganaparents.org,FATHER,ACTIVE
GRD032,Chaitanya,Yerra,MALE,1986-09-05,9849000032,parent.radhika.yerra32@telanganaparents.org,FATHER,ACTIVE
GRD033,Anusha,Goli,FEMALE,1985-10-06,9849000033,parent.praneeth.goli33@telanganaparents.org,MOTHER,ACTIVE
GRD034,Lokesh,Sunkari,MALE,1984-11-07,9849000034,parent.ramya.sunkari34@telanganaparents.org,FATHER,ACTIVE
GRD035,Tarun,Mothukuri,MALE,1983-12-08,9849000035,parent.manish.mothukuri35@telanganaparents.org,FATHER,ACTIVE
GRD036,Tanmayi,Dasari,FEMALE,1982-01-09,9849000036,parent.sameera.dasari36@telanganaparents.org,MOTHER,ACTIVE
GRD037,Siddharth,Challa,MALE,1981-02-10,9849000037,parent.pranav.challa37@telanganaparents.org,FATHER,ACTIVE
GRD038,Vignesh,Boya,MALE,1980-03-11,9849000038,parent.geetha.boya38@telanganaparents.org,FATHER,ACTIVE
GRD039,Alekhya,Kammari,FEMALE,1979-04-12,9849000039,parent.anirudh.kammari39@telanganaparents.org,MOTHER,ACTIVE
GRD040,Hemant,Vangala,MALE,1986-05-13,9849000040,parent.sharanya.vangala40@telanganaparents.org,FATHER,ACTIVE
GRD041,Lokesh,Nallam,MALE,1985-06-14,9849000041,parent.vishnu.nallam41@telanganaparents.org,FATHER,ACTIVE
GRD042,Supriya,Katakam,FEMALE,1984-07-15,9849000042,parent.anusha.katakam42@telanganaparents.org,MOTHER,ACTIVE
GRD043,Bhavan,Gampa,MALE,1983-08-16,9849000043,parent.hemant.gampa43@telanganaparents.org,FATHER,ACTIVE
GRD044,Koushik,Peddinti,MALE,1982-09-17,9849000044,parent.meghana.peddinti44@telanganaparents.org,FATHER,ACTIVE
GRD045,Sandhya,Komuravelli,FEMALE,1981-10-18,9849000045,parent.sai.komuravelli45@telanganaparents.org,MOTHER,ACTIVE
GRD046,Pranav,Polisetty,MALE,1980-11-19,9849000046,parent.suhasini.polisetty46@telanganaparents.org,FATHER,ACTIVE
GRD047,Pranav,Katta,MALE,1979-12-20,9849000047,parent.eshwar.katta47@telanganaparents.org,FATHER,ACTIVE
GRD048,Harini,Chilukuri,FEMALE,1986-01-21,9849000048,parent.madhuri.chilukuri48@telanganaparents.org,MOTHER,ACTIVE
GRD049,Koushik,Medasani,MALE,1985-02-22,9849000049,parent.uday.medasani49@telanganaparents.org,FATHER,ACTIVE
GRD050,Varun,Nimmagadda,MALE,1984-03-23,9849000050,parent.sindhu.nimmagadda50@telanganaparents.org,FATHER,ACTIVE
GRD051,Ananya,Rao,FEMALE,1983-04-24,9849000051,parent.teja.rao51@telanganaparents.org,MOTHER,ACTIVE
GRD052,Tarun,Reddy,MALE,1982-05-25,9849000052,parent.sahithi.reddy52@telanganaparents.org,FATHER,ACTIVE
GRD053,Satish,Sharma,MALE,1981-06-26,9849000053,parent.eshwar.sharma53@telanganaparents.org,FATHER,ACTIVE
GRD054,Ishwarya,Goud,FEMALE,1980-07-27,9849000054,parent.sneha.goud54@telanganaparents.org,MOTHER,ACTIVE
GRD055,Sai,Chowdary,MALE,1979-08-28,9849000055,parent.eshwar.chowdary55@telanganaparents.org,FATHER,ACTIVE
GRD056,Koushik,Varma,MALE,1986-09-01,9849000056,parent.meghana.varma56@telanganaparents.org,FATHER,ACTIVE
GRD057,Sindhu,Naidu,FEMALE,1985-10-02,9849000057,parent.tarun.naidu57@telanganaparents.org,MOTHER,ACTIVE
GRD058,Hemant,Gupta,MALE,1984-11-03,9849000058,parent.ramya.gupta58@telanganaparents.org,FATHER,ACTIVE
GRD059,Naveen,Murthy,MALE,1983-12-04,9849000059,parent.varun.murthy59@telanganaparents.org,FATHER,ACTIVE
GRD060,Sreeja,Sastry,FEMALE,1982-01-05,9849000060,parent.suhasini.sastry60@telanganaparents.org,MOTHER,ACTIVE
GRD061,Akhil,Babu,MALE,1980-02-06,9849000061,parent.vishnu.babu61@telanganaparents.org,FATHER,ACTIVE
GRD062,Madhav,Yadav,MALE,1979-03-07,9849000062,parent.harshini.yadav62@telanganaparents.org,FATHER,ACTIVE
GRD063,Sruthi,Patel,FEMALE,1978-04-08,9849000063,parent.aditya.patel63@telanganaparents.org,MOTHER,ACTIVE
