admission_number,first_name,last_name,gender,date_of_birth,admission_date,roll_number,academic_year_code,class_code,section_code,status
ADM2025001,Tarun,Rao,MALE,2014-02-02,2025-06-01,1,AY2025-2026,C5,A,ACTIVE
ADM2025002,Aakanksha,Reddy,FEMALE,2014-03-03,2025-06-01,2,AY2025-2026,C5,A,ACTIVE
ADM2025003,Koushik,Sharma,MALE,2014-04-04,2025-06-01,3,AY2025-2026,C5,A,ACTIVE
ADM2025004,Harshini,Goud,FEMALE,2014-05-05,2025-06-01,4,AY2025-2026,C5,A,ACTIVE
ADM2025005,Vikram,Chowdary,MALE,2014-06-06,2025-06-01,5,AY2025-2026,C5,A,ACTIVE
ADM2025006,Shravani,Varma,FEMALE,2014-07-07,2025-06-01,6,AY2025-2026,C5,A,ACTIVE
ADM2025007,Satish,Naidu,MALE,2014-08-08,2025-06-01,7,AY2025-2026,C5,A,ACTIVE
ADM2025008,Ruchitha,Gupta,FEMALE,2014-09-09,2025-06-01,8,AY2025-2026,C5,A,ACTIVE
ADM2025009,Aditya,Murthy,MALE,2014-10-10,2025-06-01,9,AY2025-2026,C5,A,ACTIVE
ADM2025010,Anusha,Sastry,FEMALE,2014-11-11,2025-06-01,10,AY2025-2026,C5,A,ACTIVE
ADM2025011,Hemant,Babu,MALE,2014-12-12,2025-06-01,11,AY2025-2026,C5,A,ACTIVE
ADM2025012,Sahithi,Yadav,FEMALE,2014-01-13,2025-06-01,12,AY2025-2026,C5,A,ACTIVE
ADM2025013,Shashi,Patel,MALE,2014-02-14,2025-06-01,13,AY2025-2026,C5,A,ACTIVE
ADM2025014,Sirisha,Venkatesh,FEMALE,2014-03-15,2025-06-01,14,AY2025-2026,C5,A,ACTIVE
ADM2025015,Venkatesh,Vemula,MALE,2014-04-16,2025-06-01,15,AY2025-2026,C5,A,ACTIVE
ADM2025016,Niharika,Bandi,FEMALE,2014-05-17,2025-06-01,16,AY2025-2026,C5,A,ACTIVE
ADM2025017,Rohit,Kandula,MALE,2014-06-18,2025-06-01,17,AY2025-2026,C5,A,ACTIVE
ADM2025018,Jyothi,Gudepu,FEMALE,2014-07-19,2025-06-01,18,AY2025-2026,C5,A,ACTIVE
ADM2025019,Aarav,Singireddy,MALE,2014-08-20,2025-06-01,19,AY2025-2026,C5,A,ACTIVE
ADM2025020,Sruthi,Pothula,FEMALE,2014-09-21,2025-06-01,20,AY2025-2026,C5,A,ACTIVE
ADM2025021,Venkatesh,Kondapalli,MALE,2014-10-22,2025-06-01,21,AY2025-2026,C5,A,ACTIVE
ADM2025022,Lavanya,Malkapuram,FEMALE,2014-11-23,2025-06-01,22,AY2025-2026,C5,A,ACTIVE
ADM2025023,Dhanush,Chintala,MALE,2014-12-24,2025-06-01,23,AY2025-2026,C5,A,ACTIVE
ADM2025024,Vennela,Gaddam,FEMALE,2014-01-25,2025-06-01,24,AY2025-2026,C5,A,ACTIVE
ADM2025025,Nikhil,Boddu,MALE,2014-02-26,2025-06-01,25,AY2025-2026,C5,A,ACTIVE
ADM2025026,Anusha,Maddela,FEMALE,2014-03-27,2025-06-01,26,AY2025-2026,C5,A,ACTIVE
ADM2025027,Bhavan,Komati,MALE,2014-04-28,2025-06-01,27,AY2025-2026,C5,A,ACTIVE
ADM2025028,Supriya,Narra,FEMALE,2014-05-01,2025-06-01,28,AY2025-2026,C5,A,ACTIVE
ADM2025029,Srinivas,Thota,MALE,2014-06-02,2025-06-01,29,AY2025-2026,C5,A,ACTIVE
ADM2025030,Sruthi,Avula,FEMALE,2014-07-03,2025-06-01,30,AY2025-2026,C5,A,ACTIVE
ADM2025031,Vijay,Siripuram,MALE,2014-08-04,2025-06-01,1,AY2025-2026,C5,B,ACTIVE
ADM2025032,Radhika,Yerra,FEMALE,2014-09-05,2025-06-01,2,AY2025-2026,C5,B,ACTIVE
ADM2025033,Praneeth,Goli,MALE,2014-10-06,2025-06-01,3,AY2025-2026,C5,B,ACTIVE
ADM2025034,Ramya,Sunkari,FEMALE,2014-11-07,2025-06-01,4,AY2025-2026,C5,B,ACTIVE
ADM2025035,Manish,Mothukuri,MALE,2014-12-08,2025-06-01,5,AY2025-2026,C5,B,ACTIVE
ADM2025036,Sameera,Dasari,FEMALE,2014-01-09,2025-06-01,6,AY2025-2026,C5,B,ACTIVE
ADM2025037,Pranav,Challa,MALE,2014-02-10,2025-06-01,7,AY2025-2026,C5,B,ACTIVE
ADM2025038,Geetha,Boya,FEMALE,2014-03-11,2025-06-01,8,AY2025-2026,C5,B,ACTIVE
ADM2025039,Anirudh,Kammari,MALE,2014-04-12,2025-06-01,9,AY2025-2026,C5,B,ACTIVE
ADM2025040,Sharanya,Vangala,FEMALE,2014-05-13,2025-06-01,10,AY2025-2026,C5,B,ACTIVE
ADM2025041,Vishnu,Nallam,MALE,2014-06-14,2025-06-01,11,AY2025-2026,C5,B,ACTIVE
ADM2025042,Anusha,Katakam,FEMALE,2014-07-15,2025-06-01,12,AY2025-2026,C5,B,ACTIVE
ADM2025043,Hemant,Gampa,MALE,2014-08-16,2025-06-01,13,AY2025-2026,C5,B,ACTIVE
ADM2025044,Meghana,Peddinti,FEMALE,2014-09-17,2025-06-01,14,AY2025-2026,C5,B,ACTIVE
ADM2025045,Sai,Komuravelli,MALE,2014-10-18,2025-06-01,15,AY2025-2026,C5,B,ACTIVE
ADM2025046,Suhasini,Polisetty,FEMALE,2014-11-19,2025-06-01,16,AY2025-2026,C5,B,ACTIVE
ADM2025047,Eshwar,Katta,MALE,2014-12-20,2025-06-01,17,AY2025-2026,C5,B,ACTIVE
ADM2025048,Madhuri,Chilukuri,FEMALE,2014-01-21,2025-06-01,18,AY2025-2026,C5,B,ACTIVE
ADM2025049,Uday,Medasani,MALE,2014-02-22,2025-06-01,19,AY2025-2026,C5,B,ACTIVE
ADM2025050,Sindhu,Nimmagadda,FEMALE,2014-03-23,2025-06-01,20,AY2025-2026,C5,B,ACTIVE
ADM2025051,Teja,Rao,MALE,2014-04-24,2025-06-01,21,AY2025-2026,C5,B,ACTIVE
ADM2025052,Sahithi,Reddy,FEMALE,2014-05-25,2025-06-01,22,AY2025-2026,C5,B,ACTIVE
ADM2025053,Eshwar,Sharma,MALE,2014-06-26,2025-06-01,23,AY2025-2026,C5,B,ACTIVE
ADM2025054,Sneha,Goud,FEMALE,2014-07-27,2025-06-01,24,AY2025-2026,C5,B,ACTIVE
ADM2025055,Eshwar,Chowdary,MALE,2014-08-28,2025-06-01,25,AY2025-2026,C5,B,ACTIVE
ADM2025056,Meghana,Varma,FEMALE,2014-09-01,2025-06-01,26,AY2025-2026,C5,B,ACTIVE
ADM2025057,Tarun,Naidu,MALE,2014-10-02,2025-06-01,27,AY2025-2026,C5,B,ACTIVE
ADM2025058,Ramya,Gupta,FEMALE,2014-11-03,2025-06-01,28,AY2025-2026,C5,B,ACTIVE
ADM2025059,Varun,Murthy,MALE,2014-12-04,2025-06-01,29,AY2025-2026,C5,B,ACTIVE
ADM2025060,Suhasini,Sastry,FEMALE,2014-01-05,2025-06-01,30,AY2025-2026,C5,B,ACTIVE
ADM2025061,Vishnu,Babu,MALE,2013-02-06,2025-06-01,1,AY2025-2026,C6,A,ACTIVE
ADM2025062,Harshini,Yadav,FEMALE,2013-03-07,2025-06-01,2,AY2025-2026,C6,A,ACTIVE
ADM2025063,Aditya,Patel,MALE,2013-04-08,2025-06-01,3,AY2025-2026,C6,A,ACTIVE
ADM2025064,Krithi,Venkatesh,FEMALE,2013-05-09,2025-06-01,4,AY2025-2026,C6,A,ACTIVE
ADM2025065,Koushik,Vemula,MALE,2013-06-10,2025-06-01,5,AY2025-2026,C6,A,ACTIVE
ADM2025066,Harini,Bandi,FEMALE,2013-07-11,2025-06-01,6,AY2025-2026,C6,A,ACTIVE
ADM2025067,Siddharth,Kandula,MALE,2013-08-12,2025-06-01,7,AY2025-2026,C6,A,ACTIVE
ADM2025068,Krithi,Gudepu,FEMALE,2013-09-13,2025-06-01,8,AY2025-2026,C6,A,ACTIVE
ADM2025069,Teja,Singireddy,MALE,2013-10-14,2025-06-01,9,AY2025-2026,C6,A,ACTIVE
ADM2025070,Navya,Pothula,FEMALE,2013-11-15,2025-06-01,10,AY2025-2026,C6,A,ACTIVE
ADM2025071,Sai,Kondapalli,MALE,2013-12-16,2025-06-01,11,AY2025-2026,C6,A,ACTIVE
ADM2025072,Jahnavi,Malkapuram,FEMALE,2013-01-17,2025-06-01,12,AY2025-2026,C6,A,ACTIVE
ADM2025073,Kalyan,Chintala,MALE,2013-02-18,2025-06-01,13,AY2025-2026,C6,A,ACTIVE
ADM2025074,Ramya,Gaddam,FEMALE,2013-03-19,2025-06-01,14,AY2025-2026,C6,A,ACTIVE
ADM2025075,Karthik,Boddu,MALE,2013-04-20,2025-06-01,15,AY2025-2026,C6,A,ACTIVE
ADM2025076,Ruchitha,Maddela,FEMALE,2013-05-21,2025-06-01,16,AY2025-2026,C6,A,ACTIVE
ADM2025077,Srikanth,Komati,MALE,2013-06-22,2025-06-01,17,AY2025-2026,C6,A,ACTIVE
